Kernel,C,Gamma,C1_mean_auc_roc,C2_mean_auc_roc,C3_mean_auc_roc,C4_mean_auc_roc,C5_mean_auc_roc,C6_mean_auc_roc,C7_mean_auc_roc,C8_mean_auc_roc,C9_mean_auc_roc,overall_mean
rbf,0.01,0.1,0.9875083546781596,0.9967979564845045,0.9990842950711235,0.9990479090870557,0.9180924756076265,0.9953321471543928,0.9962522075586071,0.986832608140514,0.9871967348989905,0.9851271876312193
rbf,0.01,0.01,0.9912205585359217,0.995965727489869,0.9981015381438013,0.9992010846017163,0.9851503176172984,0.9963349419032166,0.997903771676045,0.9801118154781363,0.9936260438732948,0.9930684221465889
rbf,0.01,0.001,0.9952134537537279,0.9926565488343948,0.9968720721125184,0.9975630847209945,0.99971822126979,0.9793361512273078,0.9815849720689702,0.9449992496955307,0.9955663933592254,0.9870566830047179
rbf,0.01,0.0001,0.9784297147930999,0.9936053605088088,0.9979622778941994,0.9944846669041718,0.9970061166913844,0.9663679831753436,0.9700608457809661,0.9516439376012616,0.9902371359433273,0.9821997821436182
rbf,0.01,1e-05,0.9753205776245792,0.9926446996148061,0.9978305043011464,0.9939182363201258,0.9811397049088739,0.9642124318037503,0.9475500641969397,0.9498952405819313,0.9814665118644544,0.9759975523574008
rbf,0.1,0.1,0.9884574195963729,0.997366565921418,0.999167706565246,0.9990424099650876,0.9478357818371009,0.9956906379885035,0.9965847800465024,0.9871228713577818,0.9883906793062203,0.9888509836204705
rbf,0.1,0.01,0.995126654300979,0.9984661696340602,0.9994479599283175,0.9994844303754687,0.9939716963061219,0.9962216472306975,0.9992230176742458,0.9893012194464585,0.9938941176619673,0.9961263236175909
rbf,0.1,0.001,0.9959023925135113,0.9983674256911401,0.9979878572362632,0.997161142546363,0.9996923044117011,0.9929966890495298,0.9965116730747047,0.9803720748112129,0.9963576252978241,0.9950387982924723
rbf,0.1,0.0001,0.9855980179967332,0.9943380720952317,0.998038067542773,0.9946366741259934,0.9976455304819888,0.9665213757977881,0.9701728404492649,0.9518479038937135,0.9902589208510861,0.983228600359397
rbf,0.1,1e-05,0.9780718571707123,0.9927850502453797,0.9978269340717807,0.9946951366584432,0.9971334955337907,0.9646221325560344,0.9559231833160189,0.9502693011613488,0.984305651857994,0.9795147491746113
rbf,1.0,0.1,0.9891674119672518,0.9977867018231514,0.9991482130885828,0.999256856695309,0.9465413253038337,0.9957049017041237,0.9973084443612981,0.9870200372882232,0.9889731384217045,0.9889896700726086
rbf,1.0,0.01,0.9982847268076476,0.9991060513793997,0.9993800840574021,0.9997711239037065,0.9936116110625717,0.9986885989757168,0.9994356123521406,0.9933111714024869,0.9984425121638874,0.9977812769005511
rbf,1.0,0.001,0.9989943372403344,0.9987087808240058,0.9998246756208529,0.9975388547678736,0.9996923044117011,0.9962618342234497,0.9984643269305196,0.9926579294201522,0.997726205845239,0.9977632499204587
rbf,1.0,0.0001,0.9981831975100303,0.9981359895381108,0.9992002621906464,0.9953167503158775,0.9976966552263651,0.9855828451511854,0.9950802617598477,0.9676901005523785,0.9963033676743714,0.9925766033243124
rbf,1.0,1e-05,0.9901782709463021,0.9947295534841081,0.9979156419509481,0.9947063865299534,0.9977207178298773,0.9646920370383503,0.9563784171166745,0.9504987635530743,0.9844282670681951,0.981249783946387
rbf,100.0,0.1,0.9891641114596113,0.9977913717963547,0.9986327137805635,0.9990284551919206,0.9471054568825416,0.9958322368047743,0.9975069314069389,0.9882625264325906,0.9891726943526666,0.9891662775675513
rbf,100.0,0.01,0.9982827627312787,0.9990972228009702,0.9989059792158835,0.9996308552816835,0.9907996304937761,0.9987833948827338,0.9996157340084688,0.9908592884943237,0.9986168877398868,0.9971768617387783
rbf,100.0,0.001,0.9991137429317385,0.9991745947819384,0.9998437791026469,0.9971506181833167,0.9997693460141663,0.997140776735659,0.9997470520396389,0.9922731613168979,0.9970970048388956,0.9979233417716552
rbf,100.0,0.0001,0.9979683832173889,0.9985289484247859,0.9998485530291463,0.9968466297685807,0.9996915870071813,0.9896174801718487,0.9993621610104035,0.9842786902253116,0.9958745005628471,0.9957796592686106
rbf,100.0,1e-05,0.997841070192141,0.9980750010257105,0.9995942792123657,0.9965949673335084,0.9984134683977745,0.992596481444218,0.999066601277702,0.9764437204185347,0.9962800155606788,0.9949895116514037
rbf,500.0,0.1,0.9891641114596113,0.9977913717963547,0.9986279859834806,0.9990398300759301,0.9471054568825416,0.9958322368047743,0.9975069314069389,0.9886823110628995,0.9891726943526666,0.9892136588694663
rbf,500.0,0.01,0.9982827627312787,0.9990972228009702,0.9985640803600904,0.9995702441122649,0.9907996304937761,0.9987870740585985,0.9996157340084688,0.9909294470771239,0.9986168877398865,0.997140342598051
rbf,500.0,0.001,0.9991137429317385,0.9991745947819384,0.9998435955275695,0.9979531258026849,0.9997693460141663,0.9971371337484095,0.9982786104431124,0.9906290149038319,0.9970970048388956,0.9976662409991496
rbf,500.0,0.0001,0.9970912510758321,0.9988212270803855,0.9998449057977569,0.996707410882785,0.9996915870071813,0.9901201753877054,0.9992017843129721,0.9851062109217221,0.9939656430665618,0.9956166883925446
