asm_regs_edx,asm_regs_esi,asm_regs_es,asm_regs_fs,asm_regs_ds,asm_regs_ss,asm_regs_gs,asm_regs_cs,asm_regs_ah,asm_regs_al,asm_regs_ax,asm_regs_bh,asm_regs_bl,asm_regs_bx,asm_regs_ch,asm_regs_cl,asm_regs_cx,asm_regs_dh,asm_regs_dl,asm_regs_dx,asm_regs_eax,asm_regs_ebp,asm_regs_ebx,asm_regs_ecx,asm_regs_edi,asm_regs_esp
750,496,3,0,0,0,0,0,8,224,49,34,25,0,41,191,52,38,163,63,1447,905,260,1093,393,420
1121,24,3,0,1,4,0,2,6,22,7,1,4,0,3,37,2,4,9,3,1220,1544,18,1228,24,107
1493,1900,0,0,0,0,0,0,1,398,0,0,47,0,1,77,4,1,56,2,4438,591,810,2317,1284,701
525,4,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,942,451,5,547,5,56
23,35,0,0,0,0,0,0,0,3,0,0,1,0,0,1,0,0,0,0,137,43,19,66,15,81
19,15,1,0,0,2,0,1,2,6,0,1,1,0,1,3,0,1,0,2,21,7,29,11,9,15
337,250,8,0,0,0,0,0,3,82,1,17,22,0,2,57,2,12,10,0,480,375,147,353,168,63
10182,20055,0,0,0,0,0,0,0,97,307,0,6,0,0,125,46,0,21,29,19726,6078,12761,17438,13613,301
462,576,0,0,0,0,0,0,0,48,21,0,33,0,0,61,14,0,21,17,839,664,263,668,291,256
141,96,2,1,2,1,0,2,6,13,0,7,10,0,5,6,0,1,4,1,256,556,126,135,100,90
600,981,0,0,0,0,0,0,45,87,49,0,36,0,0,91,11,0,25,2,1300,749,437,1159,474,437
360,351,43,3,30,34,1,14,62,231,1,64,56,5,72,88,0,62,69,2,647,734,363,374,354,209
125,106,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,169,192,84,152,222,225
936,5027,1,1,1,1,1,1,3,45,157,0,24,14,1,57,33,4,15,20,9839,6382,2511,5024,3972,713
123,112,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,194,182,110,163,176,225
119,103,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,362,187,87,135,216,224
1023,23,3,1,0,3,0,0,0,16,2,5,6,0,3,27,7,2,10,2,1278,1426,17,942,17,98
1127,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1111,447,6,1130,5,83
126,83,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,120,150,80,123,170,182
1011,895,0,1,0,0,1,0,0,60,2,0,25,2,0,21,4,0,15,0,2111,446,444,1378,562,730
47977,30641,0,0,0,0,0,0,0,66,190,0,8,0,0,81,11,0,40,6,37056,1907,34858,37924,32685,747
423,669,0,0,0,0,0,0,0,60,16,0,3,0,0,80,13,0,33,11,1058,354,344,748,448,254
465,420,23,1,29,29,3,16,73,200,1,147,69,2,66,97,1,58,71,1,901,911,460,468,492,210
621,667,8,0,0,0,0,0,4,107,33,5,18,6,20,154,28,1,73,26,1316,904,348,968,462,629
3942,19687,1,1,1,2,1,1,28,597,210,10,456,94,12,756,94,8,232,46,41449,28751,11489,15737,16619,2832
574,568,8,0,0,0,0,0,2,37,51,0,6,1,0,84,66,0,23,45,1206,860,258,861,368,470
66,78,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,171,150,74,96,257,273
474,343,0,0,0,0,0,0,19,97,17,0,58,0,1,61,0,0,73,0,684,576,188,966,239,82
1848,1996,12,0,9,5,0,0,11,259,135,8,79,20,29,310,105,7,174,157,3259,1501,1025,2621,1180,995
64,28,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,47,64,35,98,161,100
97,89,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,380,179,112,163,197,225
1120,3056,0,0,0,0,0,0,1,433,0,1,8,0,1,9,0,1,2,0,4991,1764,1601,2230,2296,432
806,925,0,0,0,0,0,0,8,90,104,7,56,0,37,162,40,22,117,55,1251,695,424,1210,414,303
81,75,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,323,155,77,106,161,184
680,3964,0,0,0,0,0,0,0,152,23,0,76,5,0,55,1,1,41,2,8008,4149,2956,2513,3067,1299
1623,679,0,0,0,0,0,0,0,3,2,0,0,0,24,0,2,0,0,0,4696,2746,698,697,584,2646
36,26,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,59,81,41,25,168,1
171,106,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,249,198,103,168,339,243
117,226,0,0,0,0,0,0,0,17,2,0,18,0,0,3,0,0,3,1,371,163,145,154,150,284
960,1829,0,0,0,0,0,0,0,201,8,0,28,0,0,138,24,0,24,7,3285,1352,447,1431,755,347
332,298,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,339,623,313,326,279,10
308,246,8,0,0,0,0,0,2,20,16,0,12,0,0,68,7,0,17,10,477,398,130,353,157,287
675,97,0,0,1,0,0,0,0,13,0,1,1,0,1,2,1,0,1,0,857,360,118,695,107,56
187,17,11,0,0,0,0,2,1,20,0,1,1,1,0,0,1,1,2,4,123,480,12,42,11,55
1058,1402,1,1,1,1,1,1,0,22,0,0,3,1,0,55,2,0,5,0,2637,930,930,1561,1240,844
434,3141,0,0,0,0,0,0,0,112,32,0,56,5,0,28,10,0,22,13,5475,3965,1061,3342,1375,741
